dataset,split,metric,mean,ci_low,ci_high,n_users,units,status
amazon-all-beauty,valid,old_item_auc,0.5770061728395062,0.5334837962962962,0.6216049382716049,162,pairwise_accuracy,estimated
amazon-all-beauty,valid,old_preference_proxy_auc,0.5805555555555555,0.5412037037037037,0.621454475308642,162,pairwise_accuracy,estimated
amazon-all-beauty,valid,recent_margin,0.677435866476577,0.43523150476408595,0.9262233402074118,162,score_difference_or_fraction,estimated
amazon-all-beauty,valid,preference_minus_item_auc,0.003549382716049377,-0.04768904320987653,0.05633487654320985,162,pairwise_accuracy,estimated
amazon-all-beauty,valid,full_margin,0.6467040181159973,0.40325663660043554,0.9021140265060055,162,score_difference_or_fraction,estimated
amazon-all-beauty,valid,full_minus_recent_margin,-0.03073184836057969,-0.11592850533348542,0.059220120798290435,162,score_difference_or_fraction,estimated
amazon-all-beauty,valid,old_fraction,0.42792938001989683,0.39351293206474786,0.4629744504208814,162,score_difference_or_fraction,estimated
amazon-all-beauty,valid,low_alignment_old_fraction,0.23285252421963526,0.21114645357501624,0.25509044149902743,162,score_difference_or_fraction,estimated
amazon-all-beauty,valid,low_alignment_old_cluster_excess,-0.023804714081123387,-0.05215333962988043,0.00940155003838644,151,score_difference_or_fraction,estimated
amazon-all-beauty,test,old_item_auc,0.5957474226804124,0.5514143041237113,0.638659793814433,194,pairwise_accuracy,estimated
amazon-all-beauty,test,old_preference_proxy_auc,0.5675257731958763,0.5310567010309278,0.6016784793814433,194,pairwise_accuracy,estimated
amazon-all-beauty,test,recent_margin,0.7214399966382489,0.4918646439909935,0.9559901536739978,194,score_difference_or_fraction,estimated
amazon-all-beauty,test,preference_minus_item_auc,-0.02822164948453608,-0.07538981958762886,0.022422680412371124,194,pairwise_accuracy,estimated
amazon-all-beauty,test,full_margin,0.7170929945621294,0.5030559711388706,0.9298484032762419,194,score_difference_or_fraction,estimated
amazon-all-beauty,test,full_minus_recent_margin,-0.004347002076119492,-0.10531799218703791,0.09444565421988052,194,score_difference_or_fraction,estimated
amazon-all-beauty,test,old_fraction,0.40178037307417713,0.37015786300553066,0.43521020674141575,194,score_difference_or_fraction,estimated
amazon-all-beauty,test,low_alignment_old_fraction,0.22092135058676077,0.19850390161766,0.24385210851264738,194,score_difference_or_fraction,estimated
amazon-all-beauty,test,low_alignment_old_cluster_excess,-0.030623990848428168,-0.05316910784030768,-0.0033828281805672188,171,score_difference_or_fraction,estimated
