dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-all-beauty,valid,1,35.54600608166974,23.415429226432046,0.0,69.52161723217435,1259
amazon-all-beauty,valid,2,59.86220818410163,66.77763533798137,19.771180648176944,100.0,1259
amazon-all-beauty,valid,3,74.42379854350037,100.0,50.17870651246612,100.0,1259
amazon-all-beauty,valid,4,82.35450258520356,100.0,77.84871749996296,100.0,1259
amazon-all-beauty,valid,5,87.10145479145254,100.0,99.99999999999999,100.0,1259
amazon-all-beauty,valid,6,89.52900271828746,100.0,99.99999999999999,100.0,1259
amazon-all-beauty,valid,7,91.19172798782847,100.0,100.0,100.0,1259
amazon-all-beauty,valid,8,92.52548513605605,100.0,100.0,100.0,1259
amazon-all-beauty,valid,9,93.80484069160022,100.0,100.0,100.0,1259
amazon-all-beauty,valid,10,94.63616487725444,100.0,100.0,100.0,1259
amazon-all-beauty,valid,11,95.41708125750206,100.0,100.0,100.0,1259
amazon-all-beauty,valid,12,95.8485389184158,100.0,100.0,100.0,1259
amazon-all-beauty,valid,13,96.20035236139049,100.0,100.0,100.0,1259
amazon-all-beauty,valid,14,96.63711892740403,100.0,100.0,100.0,1259
amazon-all-beauty,valid,15,97.07461335818792,100.0,100.0,100.0,1259
amazon-all-beauty,valid,16,97.41657783042244,100.0,100.0,100.0,1259
amazon-all-beauty,valid,17,97.73080619199229,100.0,100.0,100.0,1259
amazon-all-beauty,valid,18,97.96286387007065,100.0,100.0,100.0,1259
amazon-all-beauty,valid,19,98.19027216618696,100.0,100.0,100.0,1259
amazon-all-beauty,valid,20,98.39146470686741,100.0,100.0,100.0,1259
amazon-all-beauty,valid,21,98.52473665828988,100.0,100.0,100.0,1259
amazon-all-beauty,valid,22,98.62234863812077,100.0,100.0,100.0,1259
amazon-all-beauty,valid,23,98.71420974144907,100.0,100.0,100.0,1259
amazon-all-beauty,valid,24,98.87715049132775,100.0,100.0,100.0,1259
amazon-all-beauty,valid,25,98.99891144050353,100.0,100.0,100.0,1259
amazon-all-beauty,valid,26,99.08855358356115,100.0,100.0,100.0,1259
amazon-all-beauty,valid,27,99.14855558124759,100.0,100.0,100.0,1259
amazon-all-beauty,valid,28,99.24405238372239,100.0,100.0,100.0,1259
amazon-all-beauty,valid,29,99.3308608303211,100.0,100.0,100.0,1259
amazon-all-beauty,valid,30,99.37774315961713,100.0,100.0,100.0,1259
amazon-all-beauty,valid,31,99.45515711095008,100.0,100.0,100.0,1259
amazon-all-beauty,valid,32,99.50168978295852,100.0,100.0,100.0,1259
amazon-all-beauty,valid,33,99.54808222963572,100.0,100.0,100.0,1259
amazon-all-beauty,valid,34,99.5811579396756,100.0,100.0,100.0,1259
amazon-all-beauty,valid,35,99.59398508001608,100.0,100.0,100.0,1259
amazon-all-beauty,valid,36,99.630376757541,100.0,100.0,100.0,1259
amazon-all-beauty,valid,37,99.65615715586702,100.0,100.0,100.0,1259
amazon-all-beauty,valid,38,99.66974027869902,100.0,100.0,100.0,1259
amazon-all-beauty,valid,39,99.68704645444416,100.0,100.0,100.0,1259
amazon-all-beauty,valid,40,99.70185174678555,100.0,100.0,100.0,1259
amazon-all-beauty,valid,41,99.72316567485052,100.0,100.0,100.0,1259
amazon-all-beauty,valid,42,99.73418111503341,100.0,100.0,100.0,1259
amazon-all-beauty,valid,43,99.75300914528046,100.0,100.0,100.0,1259
amazon-all-beauty,valid,44,99.77829140526217,100.0,100.0,100.0,1259
amazon-all-beauty,valid,45,99.79470112649656,100.0,100.0,100.0,1259
amazon-all-beauty,valid,46,99.79918202368847,100.0,100.0,100.0,1259
amazon-all-beauty,valid,47,99.80731398437244,100.0,100.0,100.0,1259
amazon-all-beauty,valid,48,99.82423041306274,100.0,100.0,100.0,1259
amazon-all-beauty,valid,49,99.83699115454695,100.0,100.0,100.0,1259
amazon-all-beauty,valid,50,99.84009317695254,100.0,100.0,100.0,1259
amazon-all-beauty,valid,51,99.85712197943712,100.0,100.0,100.0,1259
amazon-all-beauty,valid,52,99.86040894716153,100.0,100.0,100.0,1259
amazon-all-beauty,valid,53,99.86717499359119,100.0,100.0,100.0,1259
amazon-all-beauty,valid,54,99.8736483529892,100.0,100.0,100.0,1259
amazon-all-beauty,valid,55,99.88214784010431,100.0,100.0,100.0,1259
amazon-all-beauty,valid,56,99.88400731027639,100.0,100.0,100.0,1259
amazon-all-beauty,valid,57,99.8948581932077,100.0,100.0,100.0,1259
amazon-all-beauty,valid,58,99.90183410009642,100.0,100.0,100.0,1259
amazon-all-beauty,valid,59,99.90346350713662,100.0,100.0,100.0,1259
amazon-all-beauty,valid,60,99.90701730107128,100.0,100.0,100.0,1259
amazon-all-beauty,valid,61,99.90704876025222,100.0,100.0,100.0,1259
amazon-all-beauty,valid,62,99.91582926537185,100.0,100.0,100.0,1259
amazon-all-beauty,valid,63,99.91840067694592,100.0,100.0,100.0,1259
amazon-all-beauty,valid,64,99.92373326887835,100.0,100.0,100.0,1259
amazon-all-beauty,valid,65,99.92545908693894,100.0,100.0,100.0,1259
amazon-all-beauty,valid,66,99.9254598809018,100.0,100.0,100.0,1259
amazon-all-beauty,valid,67,99.96027272287053,100.0,100.0,100.0,1259
amazon-all-beauty,valid,68,99.96027272287053,100.0,100.0,100.0,1259
