dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status
amazon-sports-and-outdoors,valid,all_available,1,1,1,raw_cosine,0.17351719707995653,0.167894545711088,0.1792838610030012,2000,2000,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,random_cosine,0.12768511010706424,0.12637146094925703,0.12915020486977882,2000,2000,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,excess_cosine,0.04583208697289228,0.04035895284479484,0.051369474802375775,2000,2000,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,raw_cosine_z,1.0312278434802309,0.9314822510768959,1.1335282123737729,2000,2000,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,random_cosine_z,0.2181686003793629,0.19486452106526664,0.24415931818255412,2000,2000,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,excess_cosine_z,0.8130592431008679,0.71596608009015,0.9112922639986218,2000,2000,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,raw_cluster_match,0.183,0.1675,0.1995,2000,2000,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,random_cluster_match,0.075675,0.0717,0.079675625,2000,2000,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,1,1,1,excess_cluster_match,0.10732499999999999,0.09164812500000001,0.12430062499999998,2000,2000,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,raw_cosine,0.1628635050811036,0.15803553297438494,0.1681280773325173,1928,1928,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,random_cosine,0.12776106289835237,0.12636429538068272,0.1290737637820078,1928,1928,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,excess_cosine,0.03510244218275121,0.03061921859229625,0.040028440615759296,1928,1928,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,raw_cosine_z,0.8422318076256906,0.7565837910053151,0.9356250919532394,1928,1928,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,random_cosine_z,0.21951599961589874,0.19473740418828817,0.24280325658750407,1928,1928,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,excess_cosine_z,0.622715808009792,0.5431836151759111,0.710102807424121,1928,1928,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,raw_cluster_match,0.16701244813278007,0.14937759336099585,0.18464730290456433,1928,1928,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,random_cluster_match,0.07673755186721991,0.07276970954356847,0.08068010892116183,1928,1928,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,2,2,2,excess_cluster_match,0.09027489626556018,0.07284686203319501,0.1073709802904564,1928,1928,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,raw_cosine,0.1500936751245851,0.14624378864658777,0.154176243255767,1735,2929,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,random_cosine,0.12845098206220512,0.127013267138785,0.12988277295832484,1735,2929,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,excess_cosine,0.021642693062379998,0.018119579854841354,0.02547714555408585,1735,2929,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,raw_cosine_z,0.6156955758124945,0.5473987559954924,0.6881201581058942,1735,2929,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,random_cosine_z,0.23175513578036513,0.20625013514353704,0.2571550444287829,1735,2929,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,excess_cosine_z,0.38394044003212935,0.321440563917514,0.4519634615990186,1735,2929,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,raw_cluster_match,0.1314121037463977,0.11786743515850144,0.14495677233429394,1735,2929,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,random_cluster_match,0.07556195965417867,0.07197334293948127,0.07919344380403459,1735,2929,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,3-4,3,4,excess_cluster_match,0.05585014409221902,0.04240634005763688,0.06926693083573486,1735,2929,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,raw_cosine,0.1492772764628257,0.1444440780462733,0.15423077272703822,845,2318,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,random_cosine,0.12778220436805804,0.1258366457504795,0.1297212310404842,845,2318,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,excess_cosine,0.02149507209476767,0.017210171370692664,0.026133532789639147,845,2318,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,raw_cosine_z,0.6012126988186701,0.5154719676876034,0.6890875085707479,845,2318,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,random_cosine_z,0.21989104837523407,0.18537692254124452,0.25428929778437953,845,2318,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,excess_cosine_z,0.381321650443436,0.30530769669222774,0.463607742803924,845,2318,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,raw_cluster_match,0.154930966469428,0.13559911242603548,0.17515039447731756,845,2318,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,random_cluster_match,0.07576429980276135,0.07058160749506903,0.08128205128205129,845,2318,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,5-8,5,8,excess_cluster_match,0.07916666666666666,0.060235823471400385,0.0989320759368836,845,2318,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,raw_cosine,0.1420221176117075,0.13643927288758947,0.14800887514216388,316,1498,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,random_cosine,0.12944774644188595,0.12629470019035557,0.13244316685840485,316,1498,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,excess_cosine,0.012574371169821566,0.007641835954671082,0.017750107690164885,316,1498,cosine,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,raw_cosine_z,0.47250649419928065,0.3734670699543012,0.5787113141809728,316,1498,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,random_cosine_z,0.24943769281889872,0.19350278851817238,0.30257632161544934,316,1498,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,excess_cosine_z,0.22306880138038188,0.13556583973321462,0.3148861436761586,316,1498,within_subset_z,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,raw_cluster_match,0.12406570223025919,0.10092591546112115,0.14970793776371305,316,1498,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,random_cluster_match,0.07947784810126583,0.07112942661241713,0.08800402633363473,316,1498,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,9-16,9,16,excess_cluster_match,0.04458785412899337,0.021829928609101868,0.0703898056057866,316,1498,probability_difference,estimated
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,raw_cosine,0.1466126702936123,0.13585490175258927,0.15757423822076108,84,728,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,random_cosine,0.12915703437104722,0.1230922310658986,0.13490853329152186,84,728,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,excess_cosine,0.017455635922565084,0.009204607541241753,0.02685177931072333,84,728,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,raw_cosine_z,0.553942700479211,0.3631003512623447,0.7484004420024725,84,728,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,random_cosine_z,0.24428047324004296,0.1366911245866364,0.34631181564307184,84,728,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,excess_cosine_z,0.30966222723916814,0.1632893401722894,0.47634940506202567,84,728,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,raw_cluster_match,0.16860247887033603,0.11957341806672162,0.22163301273792343,84,728,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,random_cluster_match,0.07413183047111618,0.0602940468096718,0.08951426037586752,84,728,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,17-32,17,32,excess_cluster_match,0.09447064839921983,0.04524980861978629,0.14588114462835441,84,728,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,raw_cosine,0.15853659397953157,0.1359040912264847,0.18137114083776296,22,339,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,random_cosine,0.13024303829915096,0.11989521978049625,0.1404961876915405,22,339,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,excess_cosine,0.028293555680380635,0.014093092541515145,0.04365639820487661,22,339,cosine,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,raw_cosine_z,0.7654725915923986,0.36397297040442317,1.1705564664786932,22,339,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,random_cosine_z,0.26354613601273846,0.0799762824841681,0.4454365633307658,22,339,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,excess_cosine_z,0.5019264555796601,0.2500108529103641,0.7744626183390027,22,339,within_subset_z,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,raw_cluster_match,0.11695772827650817,0.061836690771349866,0.1862195972886762,22,339,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,random_cluster_match,0.06341818535000353,0.04135565665395212,0.09109607769124813,22,339,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,33-64,33,64,excess_cluster_match,0.053539542926504646,-0.0018474967226088683,0.12549344106435162,22,339,probability_difference,exploratory_n_lt_100
amazon-sports-and-outdoors,valid,all_available,65-100,65,100,raw_cosine,0.1551648272457768,0.11185555954256819,0.19847409494898538,4,87,cosine,exploratory_n_lt_100
