dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-sports-and-outdoors,valid,1,29.866460012152967,16.825632168834545,0.0,50.6521061740951,1862
amazon-sports-and-outdoors,valid,2,54.1438698950933,54.08758509732418,17.996954675432658,99.99999999999999,1862
amazon-sports-and-outdoors,valid,3,71.81328630585158,95.18364917042479,43.472107802350024,100.0,1862
amazon-sports-and-outdoors,valid,4,81.23944930622562,100.0,64.74186992923387,100.0,1862
amazon-sports-and-outdoors,valid,5,86.85728531246819,100.0,88.24035154093089,100.0,1862
amazon-sports-and-outdoors,valid,6,90.27871843852691,100.0,99.99999999999999,100.0,1862
amazon-sports-and-outdoors,valid,7,92.49784812357183,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,8,94.17879131568185,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,9,95.42739707658147,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,10,96.21522561332962,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,11,96.87723879788153,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,12,97.27853066667384,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,13,97.74886667311765,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,14,98.08114373259214,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,15,98.34955140397675,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,16,98.61735089065164,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,17,98.74383637482826,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,18,98.89768321874477,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,19,99.00687614030541,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,20,99.09564977120394,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,21,99.17511367400613,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,22,99.2465051098233,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,23,99.30253758973161,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,24,99.36072912464263,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,25,99.40875236484789,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,26,99.44625611064716,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,27,99.48774301740467,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,28,99.54408486125986,100.0,100.0,100.0,1862
