dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status
amazon-toys-and-games,valid,all_available,1,1,1,raw_cosine,0.21278478331537917,0.20602241769041865,0.22049245226982747,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,random_cosine,0.13620617587957531,0.13480017801029606,0.13759415429453364,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,excess_cosine,0.07657860743580386,0.06994613235517172,0.08429960951905231,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,raw_cosine_z,1.5205321131359535,1.405727415518156,1.6513852276713998,2000,2000,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,1,1,1,random_cosine_z,0.22045690894869,0.1965872797115379,0.24402062186612822,2000,2000,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,1,1,1,excess_cosine_z,1.3000752041872636,1.1874756586555923,1.4311546752826907,2000,2000,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,1,1,1,raw_cluster_match,0.206,0.1884875,0.2245,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,1,1,1,random_cluster_match,0.05875,0.055999375000000004,0.061350625000000006,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,1,1,1,excess_cluster_match,0.14725,0.12944937499999998,0.166379375,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,2,2,2,raw_cosine,0.1853030487912083,0.1800894676143865,0.19100943971445447,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,random_cosine,0.13713803966842636,0.13569666728146884,0.13855525296676502,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,excess_cosine,0.048165009122781925,0.04297712668514518,0.05380634164097178,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,raw_cosine_z,1.0539746394592115,0.9654636591742077,1.1508520520046248,1964,1964,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,2,2,2,random_cosine_z,0.23627716275234995,0.21180698024276845,0.2603371963558479,1964,1964,within_subset_z,estimated
