dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-toys-and-games,valid,1,29.57575295328019,18.644209958292794,0.0,49.010287438525765,1920
amazon-toys-and-games,valid,2,51.391260737865494,49.20413592318452,17.793992587858078,90.42604565239819,1920
amazon-toys-and-games,valid,3,69.05114509793289,83.91109023785181,38.78224161705529,100.0,1920
amazon-toys-and-games,valid,4,78.44423336214128,100.0,59.9705912288552,100.0,1920
amazon-toys-and-games,valid,5,84.35045988503784,100.0,76.77223911582067,100.0,1920
amazon-toys-and-games,valid,6,87.91221973147798,100.0,92.11487228701137,100.0,1920
amazon-toys-and-games,valid,7,90.83746484730621,100.0,99.99999999999999,100.0,1920
amazon-toys-and-games,valid,8,92.80741004053297,100.0,99.99999999999999,100.0,1920
amazon-toys-and-games,valid,9,94.31733778250324,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,10,95.38716299851903,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,11,96.20995441502886,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,12,96.70587980386853,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,13,97.16358816407094,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,14,97.59129435556743,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,15,97.91232818951441,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,16,98.18888905340823,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,17,98.42839596273507,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,18,98.6088834274453,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,19,98.77996029428118,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,20,98.90279436371564,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,21,99.0053129476368,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,22,99.07265880618348,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,23,99.17417415879005,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,24,99.22806453031357,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,25,99.30321501402965,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,26,99.37449521687459,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,27,99.42718682085315,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,28,99.47623160264708,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,29,99.53303724817032,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,30,99.57094292981192,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,31,99.60092249076993,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,32,99.64588214750435,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,33,99.68428636641517,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,34,99.71587629615058,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,35,99.73810804047402,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,36,99.7557458465373,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,37,99.76796252581462,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,38,99.7800741893799,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,39,99.78988067055397,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,40,99.80438233223916,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,41,99.81059776696614,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,42,99.81529661389052,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,43,99.82237434409386,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,44,99.83288886173233,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,45,99.84079075910283,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,46,99.84609292671134,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,47,99.85103092567213,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,48,99.86014361472589,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,49,99.86778650393165,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,50,99.87218013142092,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,51,99.88049375815422,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,52,99.88371656989098,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,53,99.88935126824198,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,54,99.89059144229107,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,55,99.89618390956412,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,56,99.90004334258404,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,57,99.90089510710406,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,58,99.90393867646523,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,59,99.90762248771617,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,60,99.91487773648836,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,61,99.91942799936321,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,62,99.92294798288003,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,63,99.92350735339097,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,64,99.9249865204533,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,65,99.92725140103958,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,66,99.93075235353487,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,67,99.93594848573288,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,68,99.93775198091073,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,69,99.94124431173708,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,70,99.94329847655723,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,71,99.94470980772734,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,72,99.9481027420483,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,73,99.95118634044547,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,74,99.95264559729951,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,75,99.95299106261209,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,76,99.95887785494412,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,77,99.96228698863324,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,78,99.9637838975335,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,79,99.9664221529164,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,80,99.96952420435966,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,81,99.97231813069374,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,82,99.97456243556107,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,83,99.97479903751282,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,84,99.976084147149,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,85,99.98070152300161,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,86,99.9815170243745,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,87,99.98495814657139,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,88,99.9877778667907,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,89,99.98792095312304,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,90,99.98992124524587,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,91,99.9917655214918,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,92,99.99193799422288,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,93,99.99302052613166,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,94,99.99362077724017,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,95,99.99473821307922,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,96,99.99679555724684,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,97,99.998763093801,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,98,99.99948052146702,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,99,99.99948052146702,100.0,100.0,100.0,1920
amazon-toys-and-games,valid,100,100.0,100.0,100.0,100.0,1920
amazon-toys-and-games,test,1,24.453794304834467,13.90914363487763,0.0,38.247374059516574,1955
amazon-toys-and-games,test,2,44.23231166871968,39.98481614987775,14.561361321672024,71.8828854378536,1955
amazon-toys-and-games,test,3,60.25964881843459,63.68773336803841,31.456667612697466,96.71646607883906,1955
amazon-toys-and-games,test,4,73.71994441806227,90.65161948233562,49.002353379488156,100.0,1955
amazon-toys-and-games,test,5,81.18584806604144,100.0,65.60099948144241,100.0,1955
amazon-toys-and-games,test,6,85.79675442899457,100.0,81.00167461585721,100.0,1955
amazon-toys-and-games,test,7,89.25692045492939,100.0,96.56407762140245,100.0,1955
amazon-toys-and-games,test,8,91.62555435694935,100.0,99.99999999999999,100.0,1955
amazon-toys-and-games,test,9,93.4212160774337,100.0,99.99999999999999,100.0,1955
amazon-toys-and-games,test,10,94.70118987481104,100.0,100.0,100.0,1955
amazon-toys-and-games,test,11,95.71954695609176,100.0,100.0,100.0,1955
amazon-toys-and-games,test,12,96.39209961461906,100.0,100.0,100.0,1955
amazon-toys-and-games,test,13,97.01803961744568,100.0,100.0,100.0,1955
amazon-toys-and-games,test,14,97.40689249535063,100.0,100.0,100.0,1955
amazon-toys-and-games,test,15,97.72274568346197,100.0,100.0,100.0,1955
amazon-toys-and-games,test,16,97.99728669019748,100.0,100.0,100.0,1955
amazon-toys-and-games,test,17,98.27324623972362,100.0,100.0,100.0,1955
amazon-toys-and-games,test,18,98.49443583059647,100.0,100.0,100.0,1955
amazon-toys-and-games,test,19,98.69018878416054,100.0,100.0,100.0,1955
amazon-toys-and-games,test,20,98.82179337245688,100.0,100.0,100.0,1955
amazon-toys-and-games,test,21,98.92149921642792,100.0,100.0,100.0,1955
amazon-toys-and-games,test,22,99.04504400441813,100.0,100.0,100.0,1955
amazon-toys-and-games,test,23,99.11812098360464,100.0,100.0,100.0,1955
amazon-toys-and-games,test,24,99.19674033047995,100.0,100.0,100.0,1955
amazon-toys-and-games,test,25,99.26640680192007,100.0,100.0,100.0,1955
amazon-toys-and-games,test,26,99.32343578054368,100.0,100.0,100.0,1955
amazon-toys-and-games,test,27,99.38339129801064,100.0,100.0,100.0,1955
amazon-toys-and-games,test,28,99.44000877127873,100.0,100.0,100.0,1955
amazon-toys-and-games,test,29,99.48203049474313,100.0,100.0,100.0,1955
amazon-toys-and-games,test,30,99.55338610568872,100.0,100.0,100.0,1955
amazon-toys-and-games,test,31,99.59322697119138,100.0,100.0,100.0,1955
amazon-toys-and-games,test,32,99.62795312141742,100.0,100.0,100.0,1955
amazon-toys-and-games,test,33,99.67470803482533,100.0,100.0,100.0,1955
amazon-toys-and-games,test,34,99.7073990639507,100.0,100.0,100.0,1955
amazon-toys-and-games,test,35,99.72744040205363,100.0,100.0,100.0,1955
amazon-toys-and-games,test,36,99.74298773447568,100.0,100.0,100.0,1955
amazon-toys-and-games,test,37,99.76264368577671,100.0,100.0,100.0,1955
amazon-toys-and-games,test,38,99.78616849567246,100.0,100.0,100.0,1955
amazon-toys-and-games,test,39,99.79195034273909,100.0,100.0,100.0,1955
amazon-toys-and-games,test,40,99.79747040076947,100.0,100.0,100.0,1955
amazon-toys-and-games,test,41,99.8069146685143,100.0,100.0,100.0,1955
amazon-toys-and-games,test,42,99.81675491910723,100.0,100.0,100.0,1955
amazon-toys-and-games,test,43,99.82443718162429,100.0,100.0,100.0,1955
amazon-toys-and-games,test,44,99.83020784782478,100.0,100.0,100.0,1955
amazon-toys-and-games,test,45,99.83588268955609,100.0,100.0,100.0,1955
amazon-toys-and-games,test,46,99.84114168163285,100.0,100.0,100.0,1955
amazon-toys-and-games,test,47,99.84542724649316,100.0,100.0,100.0,1955
amazon-toys-and-games,test,48,99.8509119494411,100.0,100.0,100.0,1955
amazon-toys-and-games,test,49,99.85862015628666,100.0,100.0,100.0,1955
amazon-toys-and-games,test,50,99.86420917294672,100.0,100.0,100.0,1955
amazon-toys-and-games,test,51,99.86922097646226,100.0,100.0,100.0,1955
amazon-toys-and-games,test,52,99.87784437083394,100.0,100.0,100.0,1955
amazon-toys-and-games,test,53,99.8798677206734,100.0,100.0,100.0,1955
amazon-toys-and-games,test,54,99.88457042102584,100.0,100.0,100.0,1955
amazon-toys-and-games,test,55,99.88880774437749,100.0,100.0,100.0,1955
amazon-toys-and-games,test,56,99.89193141694291,100.0,100.0,100.0,1955
amazon-toys-and-games,test,57,99.89538832881288,100.0,100.0,100.0,1955
amazon-toys-and-games,test,58,99.89656213291705,100.0,100.0,100.0,1955
amazon-toys-and-games,test,59,99.9003114738819,100.0,100.0,100.0,1955
amazon-toys-and-games,test,60,99.9050209424578,100.0,100.0,100.0,1955
amazon-toys-and-games,test,61,99.91139269261748,100.0,100.0,100.0,1955
amazon-toys-and-games,test,62,99.91762141077312,100.0,100.0,100.0,1955
amazon-toys-and-games,test,63,99.92146151279924,100.0,100.0,100.0,1955
amazon-toys-and-games,test,64,99.92293271287744,100.0,100.0,100.0,1955
amazon-toys-and-games,test,65,99.92468221453034,100.0,100.0,100.0,1955
amazon-toys-and-games,test,66,99.9261647879545,100.0,100.0,100.0,1955
amazon-toys-and-games,test,67,99.93041188442707,100.0,100.0,100.0,1955
amazon-toys-and-games,test,68,99.93467608349326,100.0,100.0,100.0,1955
amazon-toys-and-games,test,69,99.9382007944929,100.0,100.0,100.0,1955
amazon-toys-and-games,test,70,99.94215663899702,100.0,100.0,100.0,1955
amazon-toys-and-games,test,71,99.94676405629289,100.0,100.0,100.0,1955
amazon-toys-and-games,test,72,99.95056101345054,100.0,100.0,100.0,1955
amazon-toys-and-games,test,73,99.95249050898504,100.0,100.0,100.0,1955
amazon-toys-and-games,test,74,99.95686274551724,100.0,100.0,100.0,1955
amazon-toys-and-games,test,75,99.96095164643823,100.0,100.0,100.0,1955
amazon-toys-and-games,test,76,99.96276030641478,100.0,100.0,100.0,1955
amazon-toys-and-games,test,77,99.96521456814696,100.0,100.0,100.0,1955
amazon-toys-and-games,test,78,99.9693046430858,100.0,100.0,100.0,1955
amazon-toys-and-games,test,79,99.96963627033148,100.0,100.0,100.0,1955
amazon-toys-and-games,test,80,99.97289344157811,100.0,100.0,100.0,1955
amazon-toys-and-games,test,81,99.97289525539674,100.0,100.0,100.0,1955
amazon-toys-and-games,test,82,99.97358161010949,100.0,100.0,100.0,1955
amazon-toys-and-games,test,83,99.97639736116064,100.0,100.0,100.0,1955
amazon-toys-and-games,test,84,99.9767289779345,100.0,100.0,100.0,1955
amazon-toys-and-games,test,85,99.9818084244529,100.0,100.0,100.0,1955
amazon-toys-and-games,test,86,99.98196014119301,100.0,100.0,100.0,1955
amazon-toys-and-games,test,87,99.98291507556722,100.0,100.0,100.0,1955
amazon-toys-and-games,test,88,99.98436931484703,100.0,100.0,100.0,1955
amazon-toys-and-games,test,89,99.98594840540808,100.0,100.0,100.0,1955
amazon-toys-and-games,test,90,99.98912913699638,100.0,100.0,100.0,1955
amazon-toys-and-games,test,91,99.99023221730609,100.0,100.0,100.0,1955
amazon-toys-and-games,test,92,99.99036422401659,100.0,100.0,100.0,1955
amazon-toys-and-games,test,93,99.992059473638,100.0,100.0,100.0,1955
amazon-toys-and-games,test,94,99.9931318892897,100.0,100.0,100.0,1955
amazon-toys-and-games,test,95,99.99469384934525,100.0,100.0,100.0,1955
amazon-toys-and-games,test,96,99.99507752050347,100.0,100.0,100.0,1955
amazon-toys-and-games,test,97,99.99751723009028,100.0,100.0,100.0,1955
amazon-toys-and-games,test,98,99.99838443774242,100.0,100.0,100.0,1955
amazon-toys-and-games,test,99,100.0,100.0,100.0,100.0,1955
amazon-toys-and-games,test,100,100.0,100.0,100.0,100.0,1955
