dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,722,25,15,0.6,0.15,0.35,0.19999999999999998,-0.9982891082763672,-1.1643283367156982,-0.16603922843933105,0.16,-0.05
amazon-toys-and-games,valid,3230,15,5,0.3333333333333333,0.1,0.25,0.15,0.2197582721710205,-0.1035614013671875,-0.323319673538208,0.2,-0.03333333333333333
amazon-toys-and-games,valid,4004,18,8,0.4444444444444444,0.6,0.925,0.32500000000000007,0.8388364315032959,0.17346906661987305,-0.6653673648834229,0.16666666666666666,0.0
amazon-toys-and-games,valid,5398,11,1,0.09090909090909091,0.6,0.475,-0.125,4.207463264465332,3.9744386672973633,-0.23302459716796875,0.0,nan
amazon-toys-and-games,valid,8213,77,67,0.8701298701298701,1.0,0.625,-0.375,1.438490867614746,1.351555347442627,-0.08693552017211914,0.44155844155844154,-0.03676470588235295
amazon-toys-and-games,valid,16800,24,14,0.5833333333333334,0.6,0.2,-0.39999999999999997,0.848552942276001,0.46683812141418457,-0.3817148208618164,0.25,-0.025000000000000005
amazon-toys-and-games,valid,19292,20,10,0.5,0.9,0.35,-0.55,2.196719169616699,2.0516610145568848,-0.14505815505981445,0.3,-0.041666666666666664
amazon-toys-and-games,valid,19395,25,15,0.6,0.3,0.175,-0.125,-0.6726627349853516,-1.0356078147888184,-0.3629450798034668,0.32,-0.025
amazon-toys-and-games,valid,19841,18,8,0.4444444444444444,0.55,0.425,-0.12500000000000006,-0.8216423988342285,-0.7911455631256104,0.030496835708618164,0.16666666666666666,-0.016666666666666666
amazon-toys-and-games,valid,22007,18,8,0.4444444444444444,0.95,0.875,-0.07499999999999996,2.137528896331787,2.2909555435180664,0.1534266471862793,0.2222222222222222,0.14999999999999997
amazon-toys-and-games,valid,25220,21,11,0.5238095238095238,0.5,0.425,-0.07500000000000001,0.4155843257904053,0.6914920806884766,0.2759077548980713,0.38095238095238093,-0.00625
amazon-toys-and-games,valid,29179,30,20,0.6666666666666666,0.9,1.0,0.09999999999999998,1.192455768585205,1.6192915439605713,0.4268357753753662,0.2,0.24166666666666667
amazon-toys-and-games,valid,30154,11,1,0.09090909090909091,0.8,0.5,-0.30000000000000004,1.1464929580688477,1.2265844345092773,0.08009147644042969,0.0,nan
amazon-toys-and-games,valid,36979,15,5,0.3333333333333333,0.65,0.925,0.275,0.8184239864349365,0.8329575061798096,0.014533519744873047,0.06666666666666667,-0.05
amazon-toys-and-games,valid,37821,11,1,0.09090909090909091,0.15,0.425,0.275,-1.640494704246521,-1.66546630859375,-0.024971604347229004,0.09090909090909091,-0.05
amazon-toys-and-games,valid,38679,29,19,0.6551724137931034,0.0,0.225,0.225,4.979520797729492,0.7514488697052002,-4.228071928024292,0.4827586206896552,-0.0642857142857143
amazon-toys-and-games,valid,39498,12,2,0.16666666666666666,0.75,0.975,0.22499999999999998,3.619542360305786,3.360762596130371,-0.25877976417541504,0.08333333333333333,0.0
amazon-toys-and-games,valid,42430,17,7,0.4117647058823529,0.8,0.8,0.0,-0.12779831886291504,-0.3009970188140869,-0.17319869995117188,0.29411764705882354,-0.01
amazon-toys-and-games,valid,43230,25,15,0.6,0.95,0.95,0.0,3.481644630432129,4.29841947555542,0.816774845123291,0.0,nan
amazon-toys-and-games,valid,43534,17,7,0.4117647058823529,0.75,0.725,-0.025000000000000022,1.1103510856628418,1.1016643047332764,-0.00868678092956543,0.29411764705882354,-0.04
amazon-toys-and-games,valid,43855,29,19,0.6551724137931034,1.0,0.9,-0.09999999999999998,6.730785369873047,7.351861476898193,0.6210761070251465,0.1724137931034483,-0.04
amazon-toys-and-games,valid,44453,15,5,0.3333333333333333,0.05,0.425,0.375,-0.9254652261734009,-1.4091453552246094,-0.4836801290512085,0.3333333333333333,-0.030000000000000006
amazon-toys-and-games,valid,45910,11,1,0.09090909090909091,0.1,0.475,0.375,-2.5363144874572754,-2.5611987113952637,-0.02488422393798828,0.09090909090909091,0.0
amazon-toys-and-games,valid,50076,14,4,0.2857142857142857,1.0,1.0,0.0,1.7852756977081299,1.8552089929580688,0.06993329524993896,0.0,nan
amazon-toys-and-games,valid,54472,26,16,0.6153846153846154,0.9,0.775,-0.125,2.6014764308929443,2.511652708053589,-0.08982372283935547,0.2692307692307692,-0.049999999999999996
amazon-toys-and-games,valid,54523,13,3,0.23076923076923078,0.1,0.425,0.32499999999999996,2.0917108058929443,1.3227518796920776,-0.7689589262008667,0.23076923076923078,0.0
amazon-toys-and-games,valid,58194,13,3,0.23076923076923078,0.9,0.45,-0.45,1.3858745098114014,1.3765285015106201,-0.00934600830078125,0.07692307692307693,-0.1
amazon-toys-and-games,valid,58847,18,8,0.4444444444444444,1.0,0.9,-0.09999999999999998,3.3448567390441895,3.836846351623535,0.4919896125793457,0.0,nan
amazon-toys-and-games,valid,60829,16,6,0.375,0.75,0.4,-0.35,1.2725063562393188,0.9931983947753906,-0.2793079614639282,0.1875,-0.03333333333333333
amazon-toys-and-games,valid,62573,14,4,0.2857142857142857,0.55,0.3,-0.25000000000000006,-0.2908768653869629,-0.30774450302124023,-0.016867637634277344,0.07142857142857142,0.0
amazon-toys-and-games,valid,62706,13,3,0.23076923076923078,0.35,0.5,0.15000000000000002,2.228055477142334,1.777611255645752,-0.45044422149658203,0.0,nan
amazon-toys-and-games,valid,68005,66,56,0.8484848484848485,0.9,0.55,-0.35,0.6046056747436523,1.0034575462341309,0.3988518714904785,0.3333333333333333,-0.03636363636363637
amazon-toys-and-games,valid,68250,17,7,0.4117647058823529,0.3,0.35,0.04999999999999999,0.15832877159118652,0.0255734920501709,-0.13275527954101562,0.23529411764705882,-0.11250000000000002
amazon-toys-and-games,valid,73048,16,6,0.375,0.3,0.35,0.04999999999999999,-0.2440023422241211,-0.5052530765533447,-0.26125073432922363,0.1875,-0.15
