dataset,split,user,history_length,positive_signal_total,items_for_50pct,items_for_80pct,items_for_90pct
amazon-toys-and-games,valid,10,4,2.025461254635884,1,2,2
amazon-toys-and-games,valid,528,3,1.0342981856928701,1,1,1
amazon-toys-and-games,valid,722,25,21.778188837375033,12,17,23
amazon-toys-and-games,valid,1764,4,1.6562081105580542,2,3,3
amazon-toys-and-games,valid,2311,6,13.45200377112888,1,5,5
amazon-toys-and-games,valid,2318,3,0.9104917235079745,1,1,1
amazon-toys-and-games,valid,2377,6,0.14177871072902865,3,3,3
amazon-toys-and-games,valid,2714,5,7.86105741497552,4,5,5
amazon-toys-and-games,valid,2944,3,14.647166774044884,1,2,3
amazon-toys-and-games,valid,3057,5,9.966750467422532,2,2,4
amazon-toys-and-games,valid,3230,15,2.685551867220442,7,8,15
amazon-toys-and-games,valid,3583,3,0.4981097871065313,2,2,2
amazon-toys-and-games,valid,3624,4,0.5258999484622506,1,1,1
amazon-toys-and-games,valid,3629,3,1.828502177911043,2,3,3
amazon-toys-and-games,valid,4004,18,15.421884703053323,8,13,14
amazon-toys-and-games,valid,4199,2,3.9741927992486072,1,1,1
amazon-toys-and-games,valid,4966,3,4.797943625455841,2,2,2
amazon-toys-and-games,valid,5398,11,30.721132203845617,5,6,7
amazon-toys-and-games,valid,5678,6,2.6404693331417453,3,5,5
amazon-toys-and-games,valid,5804,4,2.0480001183932592,1,1,1
amazon-toys-and-games,valid,5993,9,16.136905613820034,3,7,8
amazon-toys-and-games,valid,6082,5,2.211132495401668,3,3,3
amazon-toys-and-games,valid,6403,4,33.03020236076918,2,3,4
amazon-toys-and-games,valid,6844,7,2.259776187409446,3,3,3
amazon-toys-and-games,valid,7961,3,8.522034522386603,2,3,3
amazon-toys-and-games,valid,8213,77,33.66718061062462,32,51,67
amazon-toys-and-games,valid,8484,4,4.318429675321033,4,4,4
amazon-toys-and-games,valid,8490,8,20.22780431542165,2,5,5
amazon-toys-and-games,valid,9207,2,15.421273384012649,1,1,1
amazon-toys-and-games,valid,9307,7,1.2631141563364015,2,2,4
amazon-toys-and-games,valid,9710,3,8.636555019251238,2,2,3
amazon-toys-and-games,valid,9721,4,4.1629703452080555,2,3,4
amazon-toys-and-games,valid,9790,4,2.3889151528256494,2,4,4
amazon-toys-and-games,valid,9940,4,6.627612660008774,2,2,2
amazon-toys-and-games,valid,10693,4,3.4765027010675817,1,1,2
amazon-toys-and-games,valid,11198,6,1.1903990656039691,5,5,5
amazon-toys-and-games,valid,11563,5,2.0208160900486987,4,4,4
amazon-toys-and-games,valid,12966,3,1.2897632647093031,3,3,3
amazon-toys-and-games,valid,13470,5,1.4340722518897544,2,5,5
amazon-toys-and-games,valid,14672,7,3.5549308990026445,3,5,7
amazon-toys-and-games,valid,15233,5,5.702588922855977,4,5,5
amazon-toys-and-games,valid,15338,9,7.956459866993521,4,5,6
amazon-toys-and-games,valid,15453,5,3.3690724552200586,1,2,3
amazon-toys-and-games,valid,16029,4,0.483752833580123,1,1,1
amazon-toys-and-games,valid,16226,5,11.488399958739443,3,4,5
amazon-toys-and-games,valid,16800,24,13.280644706951701,10,14,19
amazon-toys-and-games,valid,16835,7,32.315126933448255,4,6,7
amazon-toys-and-games,valid,17529,3,9.085743851503484,2,3,3
amazon-toys-and-games,valid,18011,3,11.012482836297728,2,2,2
amazon-toys-and-games,valid,18425,9,7.309456136657191,4,6,8
amazon-toys-and-games,valid,18738,7,2.089745505720412,5,7,7
amazon-toys-and-games,valid,18760,5,2.2864217541036513,3,4,4
amazon-toys-and-games,valid,18791,8,7.679052317614456,1,3,3
amazon-toys-and-games,valid,18905,3,2.206269264597614,1,1,1
amazon-toys-and-games,valid,19292,20,13.426932986569257,6,15,16
amazon-toys-and-games,valid,19395,25,8.604109068272244,8,20,21
amazon-toys-and-games,valid,19423,4,2.3669476377350938,1,3,3
amazon-toys-and-games,valid,19490,5,2.901720503239656,1,3,3
amazon-toys-and-games,valid,19622,3,17.30333750724384,2,3,3
amazon-toys-and-games,valid,19841,18,10.394772583435152,14,17,18
amazon-toys-and-games,valid,21495,4,28.0708089086627,2,2,3
