dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status
amazon:Baby_Products,valid,all_available,1,1,1,raw_cosine,0.20106253373716027,0.1956791161176283,0.2063599652943667,2000,2000,cosine,estimated
amazon:Baby_Products,valid,all_available,1,1,1,random_cosine,0.16855914119631052,0.16683476931639016,0.17021406507724895,2000,2000,cosine,estimated
amazon:Baby_Products,valid,all_available,1,1,1,excess_cosine,0.032503392540849746,0.027228679867903702,0.03802125261472538,2000,2000,cosine,estimated
amazon:Baby_Products,valid,all_available,1,1,1,raw_cosine_z,0.6562488066204524,0.5815014216387474,0.7298022969876305,2000,2000,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,1,1,1,random_cosine_z,0.20494746476512846,0.1810049996120647,0.2279256621085991,2000,2000,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,1,1,1,excess_cosine_z,0.45130134185532395,0.3780632974201138,0.5279154261353057,2000,2000,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,1,1,1,raw_cluster_match,0.129,0.1145,0.144,2000,2000,probability_difference,estimated
amazon:Baby_Products,valid,all_available,1,1,1,random_cluster_match,0.063825,0.06080000000000001,0.06685,2000,2000,probability_difference,estimated
amazon:Baby_Products,valid,all_available,1,1,1,excess_cluster_match,0.06517500000000001,0.050374375,0.08002562499999999,2000,2000,probability_difference,estimated
amazon:Baby_Products,valid,all_available,2,2,2,raw_cosine,0.18560380067198945,0.18139209284337152,0.19022957633261162,1990,1990,cosine,estimated
amazon:Baby_Products,valid,all_available,2,2,2,random_cosine,0.16886956377619475,0.16713168480461604,0.17055893301069924,1990,1990,cosine,estimated
amazon:Baby_Products,valid,all_available,2,2,2,excess_cosine,0.016734236895794695,0.012929578249239779,0.020908415934396202,1990,1990,cosine,estimated
amazon:Baby_Products,valid,all_available,2,2,2,raw_cosine_z,0.441608228196928,0.3831297357697451,0.5058359472000075,1990,1990,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,2,2,2,random_cosine_z,0.20925760336582608,0.18512759567909254,0.23271406568626804,1990,1990,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,2,2,2,excess_cosine_z,0.23235062483110197,0.1795239068097835,0.2903080395501249,1990,1990,within_subset_z,estimated
amazon:Baby_Products,valid,all_available,2,2,2,raw_cluster_match,0.1100502512562814,0.09698492462311557,0.12361809045226131,1990,1990,probability_difference,estimated
amazon:Baby_Products,valid,all_available,2,2,2,random_cluster_match,0.0606532663316583,0.057914572864321605,0.06354334170854271,1990,1990,probability_difference,estimated
amazon:Baby_Products,valid,all_available,2,2,2,excess_cluster_match,0.049396984924623105,0.0361538944723618,0.06321733668341707,1990,1990,probability_difference,estimated
