dataset,split,user,history_length,positive_signal_total,items_for_50pct,items_for_80pct,items_for_90pct
amazon:Baby_Products,valid,3,3,1.6045664641816737,1,3,3
amazon:Baby_Products,valid,170,10,0.6749892412605933,7,7,8
amazon:Baby_Products,valid,234,8,4.057618015095339,4,8,8
amazon:Baby_Products,valid,570,9,5.646513237387447,5,6,7
amazon:Baby_Products,valid,747,3,2.4749011023569913,1,3,3
amazon:Baby_Products,valid,749,6,7.205490267478813,1,5,5
amazon:Baby_Products,valid,771,5,4.723742261983581,3,4,4
amazon:Baby_Products,valid,877,6,4.710974327992584,5,5,6
amazon:Baby_Products,valid,957,3,0.596276027873411,1,1,1
amazon:Baby_Products,valid,993,4,1.9382456634004237,2,3,3
amazon:Baby_Products,valid,1043,3,1.0609379137976696,1,1,1
amazon:Baby_Products,valid,1160,7,0.5093692068326272,7,7,7
amazon:Baby_Products,valid,1173,3,0.3872113761255297,3,3,3
amazon:Baby_Products,valid,1179,4,1.587178479210805,2,2,2
amazon:Baby_Products,valid,1303,41,60.33824442200742,16,22,27
amazon:Baby_Products,valid,1365,5,1.5365366790254238,2,5,5
amazon:Baby_Products,valid,1615,53,12.708838304422668,30,40,47
amazon:Baby_Products,valid,1784,19,9.451923952264302,7,14,16
amazon:Baby_Products,valid,1846,8,2.40267768471928,4,4,6
amazon:Baby_Products,valid,1875,3,3.465043200476695,3,3,3
amazon:Baby_Products,valid,1941,5,4.113150489936441,2,5,5
amazon:Baby_Products,valid,2073,4,0.746846447960805,1,1,3
amazon:Baby_Products,valid,2222,3,33.227480303230934,2,3,3
amazon:Baby_Products,valid,2583,7,2.836692680746822,4,5,5
amazon:Baby_Products,valid,2669,16,4.665576378773834,10,14,14
amazon:Baby_Products,valid,2739,5,1.1668959795418432,2,4,4
amazon:Baby_Products,valid,2976,3,1.9567384881488348,1,2,2
amazon:Baby_Products,valid,3026,4,3.0387699450476697,2,3,4
amazon:Baby_Products,valid,3150,2,1.6605777029263769,2,2,2
amazon:Baby_Products,valid,3229,14,4.170706228482522,5,6,12
amazon:Baby_Products,valid,3456,3,4.355859168101166,3,3,3
amazon:Baby_Products,valid,3642,7,3.802521062301377,6,7,7
amazon:Baby_Products,valid,3757,2,1.623875297934322,2,2,2
amazon:Baby_Products,valid,4195,2,1.435256389036017,1,1,1
amazon:Baby_Products,valid,4368,6,5.468855311506886,3,3,3
amazon:Baby_Products,valid,4525,5,1.5137339446504237,3,5,5
amazon:Baby_Products,valid,4744,3,1.3548912953522245,3,3,3
amazon:Baby_Products,valid,4940,3,1.06431057170286,3,3,3
amazon:Baby_Products,valid,4981,4,4.598063426906779,3,4,4
amazon:Baby_Products,valid,5006,10,2.4815946934586863,2,7,7
amazon:Baby_Products,valid,5203,3,9.663615391618116,2,3,3
amazon:Baby_Products,valid,5232,2,3.6037912142478814,1,2,2
amazon:Baby_Products,valid,5430,4,1.7723165221133477,2,2,2
amazon:Baby_Products,valid,5453,2,0.7422785354872883,2,2,2
amazon:Baby_Products,valid,5818,2,2.2222850734904664,2,2,2
amazon:Baby_Products,valid,5982,3,0.5110732256355932,2,2,2
amazon:Baby_Products,valid,6046,2,1.086024604409428,2,2,2
amazon:Baby_Products,valid,6053,8,6.608792786679025,5,5,5
amazon:Baby_Products,valid,6102,6,5.951894986427437,3,5,5
amazon:Baby_Products,valid,6108,3,0.4628000033103813,2,2,2
amazon:Baby_Products,valid,6233,25,8.131250827595338,10,18,21
amazon:Baby_Products,valid,6266,5,2.396324855998411,1,5,5
amazon:Baby_Products,valid,6293,4,0.15955210540254236,4,4,4
amazon:Baby_Products,valid,6328,3,1.4793633412506622,2,2,2
amazon:Baby_Products,valid,6348,7,0.7823771848516949,5,5,5
amazon:Baby_Products,valid,6430,3,0.2099994206832627,2,3,3
amazon:Baby_Products,valid,6961,5,2.362900556144068,4,4,4
amazon:Baby_Products,valid,7114,3,0.7728479417703921,3,3,3
amazon:Baby_Products,valid,7145,3,3.8651499602754233,1,1,1
amazon:Baby_Products,valid,7195,11,3.9456377449682205,5,9,9
amazon:Baby_Products,valid,7226,3,1.695281258275953,2,3,3
