dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon:Baby_Products,valid,1303,41,31,0.7560975609756098,1.0,0.925,-0.07499999999999996,3.322561264038086,3.5615921020507812,0.2390308380126953,0.21951219512195122,-0.08333333333333333
amazon:Baby_Products,valid,1615,53,43,0.8113207547169812,0.25,0.85,0.6,-0.37765347957611084,-0.8993761539459229,-0.521722674369812,0.37735849056603776,0.012499999999999992
amazon:Baby_Products,valid,1784,19,9,0.47368421052631576,1.0,0.775,-0.22499999999999998,2.0310187339782715,2.119072914123535,0.08805418014526367,0.2631578947368421,-0.09
amazon:Baby_Products,valid,2669,16,6,0.375,0.5,0.4,-0.09999999999999998,-0.22863054275512695,-0.2615339756011963,-0.032903432846069336,0.125,-0.025
amazon:Baby_Products,valid,3229,14,4,0.2857142857142857,0.5,0.425,-0.07500000000000001,1.146008014678955,0.8956217765808105,-0.25038623809814453,0.21428571428571427,-0.03333333333333333
amazon:Baby_Products,valid,6233,25,15,0.6,0.2,0.75,0.55,-0.3435415029525757,-0.7861350774765015,-0.4425935745239258,0.2,-0.07999999999999999
amazon:Baby_Products,valid,7195,11,1,0.09090909090909091,0.55,0.5,-0.050000000000000044,0.42493486404418945,0.3601689338684082,-0.06476593017578125,0.09090909090909091,0.0
amazon:Baby_Products,valid,9358,20,10,0.5,1.0,0.825,-0.17500000000000004,1.7119402885437012,1.746077299118042,0.03413701057434082,0.25,-0.11000000000000001
amazon:Baby_Products,valid,11768,13,3,0.23076923076923078,0.85,0.925,0.07500000000000007,1.6872138977050781,1.6032564640045166,-0.08395743370056152,0.07692307692307693,-0.05
amazon:Baby_Products,valid,12698,26,16,0.6153846153846154,0.85,0.775,-0.07499999999999996,2.1529974937438965,2.235616445541382,0.08261895179748535,0.2692307692307692,0.07142857142857142
amazon:Baby_Products,valid,13329,16,6,0.375,0.15,0.375,0.225,-0.6830129623413086,-0.5949056148529053,0.08810734748840332,0.3125,-0.06999999999999999
amazon:Baby_Products,valid,16882,11,1,0.09090909090909091,0.3,0.425,0.125,-0.2860449552536011,-0.3351149559020996,-0.049070000648498535,0.09090909090909091,0.0
amazon:Baby_Products,valid,17037,12,2,0.16666666666666666,1.0,0.95,-0.050000000000000044,2.122002124786377,2.4433653354644775,0.3213632106781006,0.0,nan
amazon:Baby_Products,valid,17694,16,6,0.375,0.8,0.425,-0.37500000000000006,-1.3244999647140503,-1.445540428161621,-0.1210404634475708,0.1875,-0.09999999999999999
amazon:Baby_Products,valid,19875,37,27,0.7297297297297297,0.25,0.225,-0.024999999999999994,-2.5319664478302,-2.3595166206359863,0.17244982719421387,0.40540540540540543,-0.06333333333333334
amazon:Baby_Products,valid,21864,12,2,0.16666666666666666,0.3,0.475,0.175,-0.5751466751098633,-0.666550874710083,-0.09140419960021973,0.08333333333333333,-0.1
amazon:Baby_Products,valid,23362,27,17,0.6296296296296297,0.0,0.95,0.95,-0.9235460758209229,-1.3497509956359863,-0.4262049198150635,0.2222222222222222,-0.025000000000000005
amazon:Baby_Products,valid,23882,13,3,0.23076923076923078,0.1,0.875,0.775,-1.8676941394805908,-1.8507404327392578,0.016953706741333008,0.07692307692307693,-0.2
amazon:Baby_Products,valid,24253,13,3,0.23076923076923078,0.0,0.375,0.375,-0.570641040802002,-0.8291337490081787,-0.25849270820617676,0.23076923076923078,-0.06666666666666667
amazon:Baby_Products,valid,24714,13,3,0.23076923076923078,0.3,0.475,0.175,-1.5278759002685547,-1.5179563760757446,0.009919524192810059,0.07692307692307693,0.0
amazon:Baby_Products,valid,25962,12,2,0.16666666666666666,0.55,0.35,-0.20000000000000007,0.7939763069152832,0.7843496799468994,-0.009626626968383789,0.16666666666666666,-0.025
amazon:Baby_Products,valid,26268,20,10,0.5,0.55,0.325,-0.22500000000000003,1.8740229606628418,1.6114088296890259,-0.2626141309738159,0.2,0.0
amazon:Baby_Products,valid,30058,14,4,0.2857142857142857,1.0,0.975,-0.025000000000000022,-0.33250975608825684,0.2997797727584839,0.6322895288467407,0.14285714285714285,0.45
amazon:Baby_Products,valid,31735,17,7,0.4117647058823529,0.2,0.45,0.25,1.7565505504608154,0.8532354831695557,-0.9033150672912598,0.23529411764705882,-0.037500000000000006
amazon:Baby_Products,valid,31839,19,9,0.47368421052631576,0.05,0.425,0.375,-1.2097100019454956,-1.338119387626648,-0.12840938568115234,0.21052631578947367,-0.1
amazon:Baby_Products,valid,32270,14,4,0.2857142857142857,0.55,0.425,-0.12500000000000006,2.2171125411987305,1.920912504196167,-0.2962000370025635,0.14285714285714285,-0.075
amazon:Baby_Products,valid,34328,12,2,0.16666666666666666,0.95,0.475,-0.475,0.4312281608581543,0.6363992691040039,0.2051711082458496,0.0,nan
amazon:Baby_Products,valid,35052,16,6,0.375,1.0,0.425,-0.575,0.4479374885559082,0.8912241458892822,0.443286657333374,0.125,-0.05
amazon:Baby_Products,valid,35324,13,3,0.23076923076923078,0.1,0.425,0.32499999999999996,-0.6429082155227661,-0.9484602212905884,-0.30555200576782227,0.07692307692307693,0.0
amazon:Baby_Products,valid,36098,27,17,0.6296296296296297,1.0,0.3,-0.7,-0.4332582950592041,0.009625434875488281,0.4428837299346924,0.25925925925925924,-0.1285714285714286
amazon:Baby_Products,valid,38636,16,6,0.375,0.6,0.225,-0.375,-0.7670410871505737,-0.8147300481796265,-0.047688961029052734,0.1875,-0.05000000000000001
amazon:Baby_Products,valid,40450,71,61,0.8591549295774648,0.5,0.6,0.09999999999999998,0.9113802909851074,0.5765044689178467,-0.33487582206726074,0.5774647887323944,-0.058536585365853655
amazon:Baby_Products,valid,41369,11,1,0.09090909090909091,0.6,0.475,-0.125,-0.6164910793304443,-0.5154070854187012,0.10108399391174316,0.0,nan
amazon:Baby_Products,valid,41895,15,5,0.3333333333333333,0.25,0.475,0.22499999999999998,0.46671175956726074,0.1948397159576416,-0.27187204360961914,0.26666666666666666,-0.0625
amazon:Baby_Products,valid,43747,12,2,0.16666666666666666,0.6,0.425,-0.175,-0.5834672451019287,-0.5212597846984863,0.06220746040344238,0.0,nan
amazon:Baby_Products,valid,43941,14,4,0.2857142857142857,0.45,0.375,-0.07500000000000001,0.5965588092803955,0.35647881031036377,-0.24007999897003174,0.21428571428571427,-0.06666666666666667
amazon:Baby_Products,valid,45759,25,15,0.6,0.8,0.375,-0.42500000000000004,0.3479032516479492,0.44849157333374023,0.10058832168579102,0.2,-0.16
amazon:Baby_Products,valid,46235,13,3,0.23076923076923078,0.15,0.45,0.30000000000000004,-0.08658361434936523,-0.3887920379638672,-0.30220842361450195,0.23076923076923078,-0.11666666666666665
amazon:Baby_Products,valid,46468,11,1,0.09090909090909091,0.45,0.5,0.04999999999999999,-0.6783100366592407,-0.6445980072021484,0.033712029457092285,0.0,nan
amazon:Baby_Products,valid,46515,34,24,0.7058823529411765,1.0,0.525,-0.475,0.07197165489196777,0.4593982696533203,0.38742661476135254,0.2647058823529412,-0.027777777777777776
