dataset,split,user,history_length,lag,item,target,negative_count,margin_with_item,margin_without_item,margin_influence,target_score_influence,rank_with_item,rank_without_item,rank_improvement
amazon-sports-and-outdoors,test,0,5,1,6916,42572,64,0.28027650713920593,0.41386985778808594,-0.13359335064888,-0.1751708984375,14,8,-6
amazon-sports-and-outdoors,test,0,5,2,21296,42572,64,0.28027650713920593,0.24065780639648438,0.03961870074272156,0.0335693359375,14,15,1
amazon-sports-and-outdoors,test,0,5,3,270096,42572,64,0.28027650713920593,0.26605069637298584,0.014225810766220093,0.10400390625,14,17,3
amazon-sports-and-outdoors,test,0,5,4,76256,42572,64,0.28027650713920593,0.1633889377117157,0.11688756942749023,0.08892822265625,14,21,7
amazon-sports-and-outdoors,test,0,5,5,7855,42572,64,0.28027650713920593,0.27265387773513794,0.007622629404067993,0.0072021484375,14,15,1
amazon-sports-and-outdoors,test,315,16,1,13904,38551,64,0.7724297046661377,0.7982479333877563,-0.025818228721618652,-0.067626953125,3,3,0
amazon-sports-and-outdoors,test,315,16,2,30944,38551,64,0.7724297046661377,0.728201150894165,0.044228553771972656,0.035400390625,3,3,0
amazon-sports-and-outdoors,test,315,16,3,46193,38551,64,0.7724297046661377,0.7633599042892456,0.00906980037689209,0.01025390625,3,3,0
amazon-sports-and-outdoors,test,315,16,4,12938,38551,64,0.7724297046661377,0.7689394354820251,0.003490269184112549,0.002685546875,3,3,0
amazon-sports-and-outdoors,test,315,16,5,46192,38551,64,0.7724297046661377,0.8052968382835388,-0.03286713361740112,-0.018310546875,3,3,0
amazon-sports-and-outdoors,test,315,16,6,10887,38551,64,0.7724297046661377,0.7393198013305664,0.03310990333557129,0.02880859375,3,3,0
amazon-sports-and-outdoors,test,315,16,7,46191,38551,64,0.7724297046661377,0.7498843669891357,0.022545337677001953,0.0185546875,3,3,0
amazon-sports-and-outdoors,test,315,16,8,31247,38551,64,0.7724297046661377,0.751570463180542,0.020859241485595703,0.021240234375,3,3,0
amazon-sports-and-outdoors,test,315,16,9,828,38551,64,0.7724297046661377,0.7514132261276245,0.021016478538513184,0.02490234375,3,3,0
