dataset,split,user,history_length,lag,item,target,negative_count,margin_with_item,margin_without_item,margin_influence,target_score_influence,rank_with_item,rank_without_item,rank_improvement
amazon-toys-and-games,test,0,12,1,13210,19886,64,0.16188287734985352,0.07950067520141602,0.0823822021484375,0.0760498046875,25,28,3
amazon-toys-and-games,test,0,12,2,48619,19886,64,0.16188287734985352,0.12911275029182434,0.032770127058029175,0.04119873046875,25,27,2
amazon-toys-and-games,test,0,12,3,88183,19886,64,0.16188287734985352,0.10901333391666412,0.05286954343318939,0.0357666015625,25,26,1
amazon-toys-and-games,test,0,12,4,190713,19886,64,0.16188287734985352,0.28602802753448486,-0.12414515018463135,-0.1700439453125,25,23,-2
amazon-toys-and-games,test,0,12,5,190712,19886,64,0.16188287734985352,0.10704708099365234,0.05483579635620117,0.0587158203125,25,28,3
amazon-toys-and-games,test,0,12,6,2644,19886,64,0.16188287734985352,0.155442476272583,0.006440401077270508,0.020263671875,25,26,1
amazon-toys-and-games,test,0,12,7,140328,19886,64,0.16188287734985352,0.22030401229858398,-0.05842113494873047,-0.07958984375,25,25,0
amazon-toys-and-games,test,0,12,8,190711,19886,64,0.16188287734985352,0.049348920583724976,0.11253395676612854,0.1576213836669922,25,29,4
amazon-toys-and-games,test,0,12,9,44205,19886,64,0.16188287734985352,0.16149282455444336,0.00039005279541015625,0.013916015625,25,26,1
amazon-toys-and-games,test,0,12,10,36189,19886,64,0.16188287734985352,0.15207791328430176,0.009804964065551758,0.007568359375,25,25,0
amazon-toys-and-games,test,0,12,11,152541,19886,64,0.16188287734985352,0.13357526063919067,0.028307616710662842,0.021484375,25,26,1
amazon-toys-and-games,test,0,12,12,115146,19886,64,0.16188287734985352,0.2986510097980499,-0.1367681324481964,-0.1434326171875,25,22,-3
amazon-toys-and-games,test,285,4,1,50097,8549,64,3.1161093711853027,2.8649981021881104,0.2511112689971924,0.21484375,1,1,0
amazon-toys-and-games,test,285,4,2,13633,8549,64,3.1161093711853027,2.9576566219329834,0.15845274925231934,0.1796875,1,1,0
amazon-toys-and-games,test,285,4,3,128436,8549,64,3.1161093711853027,3.0239579677581787,0.09215140342712402,0.064453125,1,1,0
amazon-toys-and-games,test,285,4,4,91373,8549,64,3.1161093711853027,3.0629048347473145,0.05320453643798828,0.04296875,1,1,0
amazon-toys-and-games,test,568,11,1,15855,26515,64,2.4836478233337402,2.5057263374328613,-0.022078514099121094,-0.025390625,1,1,0
amazon-toys-and-games,test,568,11,2,5487,26515,64,2.4836478233337402,2.342459201812744,0.1411886215209961,0.15625,1,1,0
amazon-toys-and-games,test,568,11,3,35732,26515,64,2.4836478233337402,2.4039041996002197,0.07974362373352051,0.0859375,1,1,0
amazon-toys-and-games,test,568,11,4,46437,26515,64,2.4836478233337402,2.40773344039917,0.07591438293457031,0.076171875,1,1,0
amazon-toys-and-games,test,568,11,5,139568,26515,64,2.4836478233337402,2.4593372344970703,0.024310588836669922,0.01953125,1,1,0
amazon-toys-and-games,test,568,11,6,67044,26515,64,2.4836478233337402,2.6224493980407715,-0.13880157470703125,-0.1484375,1,1,0
amazon-toys-and-games,test,568,11,7,69,26515,64,2.4836478233337402,2.462571859359741,0.021075963973999023,0.01953125,1,1,0
amazon-toys-and-games,test,568,11,8,53068,26515,64,2.4836478233337402,2.387831449508667,0.09581637382507324,0.080078125,1,1,0
amazon-toys-and-games,test,568,11,9,190711,26515,64,2.4836478233337402,2.6905720233917236,-0.2069242000579834,-0.16796875,1,1,0
amazon-toys-and-games,test,568,11,10,20919,26515,64,2.4836478233337402,2.3769521713256836,0.10669565200805664,0.10546875,1,1,0
amazon-toys-and-games,test,568,11,11,75937,26515,64,2.4836478233337402,2.4377360343933105,0.04591178894042969,0.056640625,1,1,0
amazon-toys-and-games,test,855,8,1,63649,2578,64,1.2551442384719849,1.0341391563415527,0.22100508213043213,0.25830078125,1,2,1
amazon-toys-and-games,test,855,8,2,202091,2578,64,1.2551442384719849,2.1122324466705322,-0.8570882081985474,-1.046875,1,1,0
amazon-toys-and-games,test,855,8,3,1313,2578,64,1.2551442384719849,1.2471110820770264,0.008033156394958496,0.0029296875,1,1,0
amazon-toys-and-games,test,855,8,4,142874,2578,64,1.2551442384719849,1.1853172779083252,0.06982696056365967,0.107421875,1,1,0
amazon-toys-and-games,test,855,8,5,12572,2578,64,1.2551442384719849,1.14463210105896,0.1105121374130249,0.1201171875,1,1,0
amazon-toys-and-games,test,855,8,6,10982,2578,64,1.2551442384719849,1.1338624954223633,0.12128174304962158,0.1181640625,1,1,0
amazon-toys-and-games,test,855,8,7,3314,2578,64,1.2551442384719849,1.2208492755889893,0.034294962882995605,0.033203125,1,1,0
amazon-toys-and-games,test,855,8,8,132,2578,64,1.2551442384719849,1.2314035892486572,0.023740649223327637,0.0244140625,1,1,0
amazon-toys-and-games,test,1138,14,1,3178,1191,64,1.314192771911621,1.3209571838378906,-0.006764411926269531,-0.0390625,2,2,0
amazon-toys-and-games,test,1138,14,2,16395,1191,64,1.314192771911621,1.2804512977600098,0.03374147415161133,0.033203125,2,2,0
amazon-toys-and-games,test,1138,14,3,2629,1191,64,1.314192771911621,1.2168021202087402,0.09739065170288086,0.111328125,2,2,0
amazon-toys-and-games,test,1138,14,4,23482,1191,64,1.314192771911621,1.3360828161239624,-0.02189004421234131,-0.0302734375,2,2,0
amazon-toys-and-games,test,1138,14,5,49851,1191,64,1.314192771911621,1.4839022159576416,-0.1697094440460205,-0.1806640625,2,2,0
amazon-toys-and-games,test,1138,14,6,57,1191,64,1.314192771911621,1.246328353881836,0.06786441802978516,0.0732421875,2,2,0
amazon-toys-and-games,test,1138,14,7,146972,1191,64,1.314192771911621,1.3481920957565308,-0.03399932384490967,-0.0361328125,2,2,0
amazon-toys-and-games,test,1138,14,8,694,1191,64,1.314192771911621,1.2942264080047607,0.01996636390686035,0.0224609375,2,2,0
amazon-toys-and-games,test,1138,14,9,182,1191,64,1.314192771911621,1.3163459300994873,-0.002153158187866211,0.0,2,2,0
amazon-toys-and-games,test,1138,14,10,174913,1191,64,1.314192771911621,1.2345894575119019,0.07960331439971924,0.0693359375,2,2,0
amazon-toys-and-games,test,1138,14,11,113,1191,64,1.314192771911621,1.3015666007995605,0.012626171112060547,0.015625,2,2,0
amazon-toys-and-games,test,1138,14,12,113,1191,64,1.314192771911621,1.3015666007995605,0.012626171112060547,0.015625,2,2,0
amazon-toys-and-games,test,1138,14,13,146120,1191,64,1.314192771911621,1.323063850402832,-0.008871078491210938,-0.0087890625,2,2,0
amazon-toys-and-games,test,1138,14,14,45373,1191,64,1.314192771911621,1.3170723915100098,-0.002879619598388672,-0.00390625,2,2,0
amazon-toys-and-games,test,1422,7,1,120021,51645,64,-0.30298447608947754,0.2554945945739746,-0.5584790706634521,-0.537109375,45,21,-24
amazon-toys-and-games,test,1422,7,2,31608,51645,64,-0.30298447608947754,-0.31180620193481445,0.008821725845336914,0.01953125,45,45,0
amazon-toys-and-games,test,1422,7,3,5290,51645,64,-0.30298447608947754,-0.32581329345703125,0.02282881736755371,0.020263671875,45,46,1
amazon-toys-and-games,test,1422,7,4,20259,51645,64,-0.30298447608947754,-0.28886622190475464,-0.0141182541847229,-0.03173828125,45,46,1
amazon-toys-and-games,test,1422,7,5,92929,51645,64,-0.30298447608947754,-0.5431235432624817,0.24013906717300415,0.2060546875,45,53,8
amazon-toys-and-games,test,1422,7,6,32430,51645,64,-0.30298447608947754,-0.31757792830467224,0.014593452215194702,0.008544921875,45,46,1
amazon-toys-and-games,test,1422,7,7,123373,51645,64,-0.30298447608947754,-0.3471970558166504,0.04421257972717285,0.0361328125,45,49,4
amazon-toys-and-games,test,1706,8,1,230411,73412,64,0.01108694076538086,0.33569908142089844,-0.3246121406555176,-0.3831787109375,32,23,-9
amazon-toys-and-games,test,1706,8,2,116565,73412,64,0.01108694076538086,-0.1564965844154358,0.16758352518081665,0.226806640625,32,35,3
amazon-toys-and-games,test,1706,8,3,20127,73412,64,0.01108694076538086,-0.02946460247039795,0.04055154323577881,0.043487548828125,32,32,0
amazon-toys-and-games,test,1706,8,4,41290,73412,64,0.01108694076538086,-0.09602785110473633,0.10711479187011719,0.10882568359375,32,34,2
amazon-toys-and-games,test,1706,8,5,16854,73412,64,0.01108694076538086,-0.028728008270263672,0.03981494903564453,0.0373992919921875,32,32,0
amazon-toys-and-games,test,1706,8,6,38977,73412,64,0.01108694076538086,0.009310245513916016,0.0017766952514648438,-0.0040435791015625,32,32,0
amazon-toys-and-games,test,1706,8,7,224688,73412,64,0.01108694076538086,0.028086304664611816,-0.016999363899230957,-0.011566162109375,32,32,0
amazon-toys-and-games,test,1706,8,8,165934,73412,64,0.01108694076538086,0.10706757009029388,-0.09598062932491302,-0.1029052734375,32,29,-3
amazon-toys-and-games,test,1991,6,1,5231,25914,64,0.6509208083152771,0.46287965774536133,0.18804115056991577,0.1875,8,12,4
amazon-toys-and-games,test,1991,6,2,203502,25914,64,0.6509208083152771,0.5221956968307495,0.1287251114845276,0.06884765625,8,13,5
amazon-toys-and-games,test,1991,6,3,224136,25914,64,0.6509208083152771,0.9585765600204468,-0.3076557517051697,-0.244140625,8,2,-6
amazon-toys-and-games,test,1991,6,4,17621,25914,64,0.6509208083152771,0.6411059498786926,0.009814858436584473,0.0107421875,8,9,1
amazon-toys-and-games,test,1991,6,5,16228,25914,64,0.6509208083152771,0.5817842483520508,0.06913655996322632,0.0361328125,8,10,2
amazon-toys-and-games,test,1991,6,6,170347,25914,64,0.6509208083152771,0.6836819648742676,-0.03276115655899048,0.00830078125,8,8,0
amazon-toys-and-games,test,2274,5,1,22204,260900,64,-0.07545613497495651,-0.1721888929605484,0.09673275798559189,0.03564453125,40,41,1
amazon-toys-and-games,test,2274,5,2,47114,260900,64,-0.07545613497495651,-0.16988563537597656,0.09442950040102005,0.1474609375,40,41,1
amazon-toys-and-games,test,2274,5,3,115686,260900,64,-0.07545613497495651,0.0872642993927002,-0.1627204343676567,-0.0267333984375,40,29,-11
amazon-toys-and-games,test,2274,5,4,40194,260900,64,-0.07545613497495651,0.08690571784973145,-0.16236185282468796,-0.3082275390625,40,27,-13
amazon-toys-and-games,test,2274,5,5,27086,260900,64,-0.07545613497495651,-0.13873839378356934,0.06328225880861282,0.080810546875,40,40,0
amazon-toys-and-games,test,2556,5,1,35101,170632,64,-0.8228919506072998,-0.6950833201408386,-0.12780863046646118,-0.12109375,59,58,-1
amazon-toys-and-games,test,2556,5,2,16144,170632,64,-0.8228919506072998,-0.7589799165725708,-0.063912034034729,-0.0400390625,59,58,-1
amazon-toys-and-games,test,2556,5,3,61592,170632,64,-0.8228919506072998,-0.5889251828193665,-0.23396676778793335,-0.248046875,59,55,-4
amazon-toys-and-games,test,2556,5,4,31540,170632,64,-0.8228919506072998,-0.8218743801116943,-0.0010175704956054688,-0.017578125,59,60,1
amazon-toys-and-games,test,2556,5,5,79380,170632,64,-0.8228919506072998,-1.0399441719055176,0.21705222129821777,0.2578125,59,62,3
amazon-toys-and-games,test,2840,4,1,26582,4575,64,0.8824566602706909,0.9134896397590637,-0.031032979488372803,0.0224609375,5,4,-1
amazon-toys-and-games,test,2840,4,2,15673,4575,64,0.8824566602706909,0.8628267049789429,0.019629955291748047,0.052734375,5,6,1
amazon-toys-and-games,test,2840,4,3,29836,4575,64,0.8824566602706909,0.8675564527511597,0.01490020751953125,0.03125,5,8,3
amazon-toys-and-games,test,2840,4,4,1252,4575,64,0.8824566602706909,0.8537397384643555,0.02871692180633545,-0.046875,5,8,3
amazon-toys-and-games,test,3122,4,1,48711,17763,64,1.4299569129943848,1.3678337335586548,0.06212317943572998,0.0302734375,2,2,0
amazon-toys-and-games,test,3122,4,2,37194,17763,64,1.4299569129943848,1.3789877891540527,0.05096912384033203,0.0478515625,2,2,0
amazon-toys-and-games,test,3122,4,3,103512,17763,64,1.4299569129943848,1.6660367250442505,-0.23607981204986572,-0.2138671875,2,1,-1
amazon-toys-and-games,test,3122,4,4,31566,17763,64,1.4299569129943848,1.433397889137268,-0.0034409761428833008,0.0009765625,2,2,0
amazon-toys-and-games,test,3404,8,1,125607,83731,64,-0.3996889591217041,-0.42423537373542786,0.024546414613723755,0.0604248046875,49,52,3
amazon-toys-and-games,test,3404,8,2,102178,83731,64,-0.3996889591217041,-0.5244907736778259,0.12480181455612183,0.1412353515625,49,54,5
amazon-toys-and-games,test,3404,8,3,45229,83731,64,-0.3996889591217041,-0.32668912410736084,-0.07299983501434326,-0.0675048828125,49,46,-3
amazon-toys-and-games,test,3404,8,4,60391,83731,64,-0.3996889591217041,-0.3403638005256653,-0.05932515859603882,-0.0716552734375,49,47,-2
amazon-toys-and-games,test,3404,8,5,49333,83731,64,-0.3996889591217041,-0.31901127099990845,-0.08067768812179565,-0.107421875,49,47,-2
amazon-toys-and-games,test,3404,8,6,63216,83731,64,-0.3996889591217041,-0.40735673904418945,0.0076677799224853516,0.0118408203125,49,51,2
amazon-toys-and-games,test,3404,8,7,102961,83731,64,-0.3996889591217041,-0.4495847225189209,0.0498957633972168,0.0753173828125,49,49,0
amazon-toys-and-games,test,3404,8,8,305322,83731,64,-0.3996889591217041,-0.36437344551086426,-0.035315513610839844,-0.0587158203125,49,42,-7
amazon-toys-and-games,test,3688,8,1,102571,4378,64,2.073007106781006,1.1543105840682983,0.9186965227127075,0.896484375,1,1,0
amazon-toys-and-games,test,3688,8,2,16796,4378,64,2.073007106781006,2.168475866317749,-0.09546875953674316,-0.068359375,1,1,0
amazon-toys-and-games,test,3688,8,3,18522,4378,64,2.073007106781006,1.9573041200637817,0.11570298671722412,0.11328125,1,1,0
amazon-toys-and-games,test,3688,8,4,40653,4378,64,2.073007106781006,2.230928897857666,-0.15792179107666016,-0.154296875,1,1,0
amazon-toys-and-games,test,3688,8,5,252166,4378,64,2.073007106781006,2.3862500190734863,-0.31324291229248047,-0.353515625,1,1,0
amazon-toys-and-games,test,3688,8,6,24637,4378,64,2.073007106781006,2.126923084259033,-0.053915977478027344,-0.048828125,1,1,0
amazon-toys-and-games,test,3688,8,7,43115,4378,64,2.073007106781006,2.0675361156463623,0.005470991134643555,-0.001953125,1,1,0
amazon-toys-and-games,test,3688,8,8,5575,4378,64,2.073007106781006,2.0875730514526367,-0.01456594467163086,-0.0341796875,1,1,0
amazon-toys-and-games,test,3971,6,1,68381,184584,64,0.3029787540435791,0.3620654344558716,-0.05908668041229248,-0.06689453125,17,13,-4
amazon-toys-and-games,test,3971,6,2,156036,184584,64,0.3029787540435791,0.28398212790489197,0.018996626138687134,0.046875,17,19,2
amazon-toys-and-games,test,3971,6,3,45108,184584,64,0.3029787540435791,0.2776779532432556,0.025300800800323486,0.026611328125,17,18,1
amazon-toys-and-games,test,3971,6,4,6283,184584,64,0.3029787540435791,0.31907713413238525,-0.016098380088806152,-0.0205078125,17,14,-3
amazon-toys-and-games,test,3971,6,5,11539,184584,64,0.3029787540435791,0.25359565019607544,0.04938310384750366,0.069091796875,17,18,1
amazon-toys-and-games,test,3971,6,6,44757,184584,64,0.3029787540435791,0.284635066986084,0.018343687057495117,0.023193359375,17,16,-1
amazon-toys-and-games,test,4258,15,1,144431,188737,64,0.7686929106712341,0.8330748677253723,-0.06438195705413818,-0.0791015625,6,4,-2
amazon-toys-and-games,test,4258,15,2,188736,188737,64,0.7686929106712341,0.8017319440841675,-0.03303903341293335,-0.02587890625,6,4,-2
amazon-toys-and-games,test,4258,15,3,188735,188737,64,0.7686929106712341,0.7121503353118896,0.05654257535934448,0.083984375,6,6,0
amazon-toys-and-games,test,4258,15,4,188734,188737,64,0.7686929106712341,0.8473221659660339,-0.0786292552947998,-0.06787109375,6,5,-1
amazon-toys-and-games,test,4258,15,5,188733,188737,64,0.7686929106712341,0.7978472709655762,-0.02915436029434204,-0.03173828125,6,5,-1
amazon-toys-and-games,test,4258,15,6,188732,188737,64,0.7686929106712341,0.7525191903114319,0.016173720359802246,0.0205078125,6,5,-1
amazon-toys-and-games,test,4258,15,7,188731,188737,64,0.7686929106712341,0.786400556564331,-0.017707645893096924,-0.0185546875,6,4,-2
amazon-toys-and-games,test,4258,15,8,188730,188737,64,0.7686929106712341,0.787629246711731,-0.018936336040496826,-0.0185546875,6,6,0
amazon-toys-and-games,test,4258,15,9,188729,188737,64,0.7686929106712341,0.7794687747955322,-0.010775864124298096,-0.01025390625,6,4,-2
amazon-toys-and-games,test,4258,15,10,123665,188737,64,0.7686929106712341,0.772155225276947,-0.0034623146057128906,-0.017578125,6,4,-2
amazon-toys-and-games,test,4258,15,11,188728,188737,64,0.7686929106712341,0.7750270962715149,-0.006334185600280762,-0.00634765625,6,5,-1
amazon-toys-and-games,test,4258,15,12,188727,188737,64,0.7686929106712341,0.7752094268798828,-0.006516516208648682,-0.0068359375,6,5,-1
amazon-toys-and-games,test,4258,15,13,188726,188737,64,0.7686929106712341,0.7242910265922546,0.04440188407897949,0.04736328125,6,6,0
amazon-toys-and-games,test,4258,15,14,120303,188737,64,0.7686929106712341,0.767453670501709,0.0012392401695251465,0.0009765625,6,6,0
amazon-toys-and-games,test,4258,15,15,173718,188737,64,0.7686929106712341,0.767931342124939,0.000761568546295166,-0.0009765625,6,5,-1
amazon-toys-and-games,test,4541,19,1,46610,108983,64,0.6538004875183105,0.3511008024215698,0.3026996850967407,0.2783203125,11,18,7
amazon-toys-and-games,test,4541,19,2,5866,108983,64,0.6538004875183105,0.5711090564727783,0.08269143104553223,0.07958984375,11,13,2
amazon-toys-and-games,test,4541,19,3,157115,108983,64,0.6538004875183105,0.7487073540687561,-0.09490686655044556,-0.03857421875,11,11,0
amazon-toys-and-games,test,4541,19,4,48306,108983,64,0.6538004875183105,0.6883971691131592,-0.03459668159484863,-0.04296875,11,11,0
amazon-toys-and-games,test,4541,19,5,16337,108983,64,0.6538004875183105,0.6690788269042969,-0.015278339385986328,-0.02587890625,11,11,0
amazon-toys-and-games,test,4541,19,6,29770,108983,64,0.6538004875183105,0.6903624534606934,-0.03656196594238281,-0.0439453125,11,11,0
amazon-toys-and-games,test,4541,19,7,33947,108983,64,0.6538004875183105,0.6797038912773132,-0.025903403759002686,-0.0322265625,11,11,0
amazon-toys-and-games,test,4541,19,8,72076,108983,64,0.6538004875183105,0.6711723804473877,-0.01737189292907715,-0.021484375,11,11,0
amazon-toys-and-games,test,4541,19,9,68846,108983,64,0.6538004875183105,0.6395408511161804,0.014259636402130127,0.02490234375,11,12,1
