dataset,split,user,history_length,lag,item,target,raw_cosine,random_cosine,excess_cosine,raw_cluster_match,random_cluster_match,excess_cluster_match,matching_widened_bins
amazon-sports-and-outdoors,valid,3612,3,1,12815,23818,0.22580300271511078,0.17304721474647522,0.05275578796863556,1.0,0.2,0.8,0
amazon-sports-and-outdoors,valid,3612,3,2,188838,23818,0.0521276593208313,0.1852751076221466,-0.1331474483013153,0.0,0.2,-0.2,0
amazon-sports-and-outdoors,valid,3612,3,3,30232,23818,0.24866390228271484,0.1707870215177536,0.07787688076496124,1.0,0.15,0.85,0
amazon-sports-and-outdoors,valid,9465,4,1,150512,297198,0.03596199303865433,0.07559819519519806,-0.03963620215654373,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,9465,4,2,66875,297198,0.11040790379047394,0.07808078825473785,0.032327115535736084,1.0,0.1,0.9,0
amazon-sports-and-outdoors,valid,9465,4,3,191506,297198,0.10688268393278122,0.07620681822299957,0.030675865709781647,1.0,0.1,0.9,0
amazon-sports-and-outdoors,valid,9465,4,4,362171,297198,0.08056050539016724,0.07172586023807526,0.00883464515209198,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,18078,7,1,20264,2151,0.1449582874774933,0.15864701569080353,-0.013688728213310242,0.0,0.15,-0.15,0
amazon-sports-and-outdoors,valid,18078,7,2,60994,2151,0.18053831160068512,0.1256994605064392,0.05483885109424591,1.0,0.15,0.85,0
amazon-sports-and-outdoors,valid,18078,7,3,145181,2151,0.14171981811523438,0.13584241271018982,0.005877405405044556,0.0,0.15,-0.15,0
amazon-sports-and-outdoors,valid,18078,7,4,181095,2151,0.10920801758766174,0.13064537942409515,-0.02143736183643341,0.0,0.2,-0.2,0
amazon-sports-and-outdoors,valid,18078,7,5,294948,2151,0.04696611315011978,0.12752792239189148,-0.0805618092417717,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,18078,7,6,1120,2151,0.0851874053478241,0.1430918425321579,-0.0579044371843338,0.0,0.15,-0.15,0
amazon-sports-and-outdoors,valid,18078,7,7,177101,2151,0.11104943603277206,0.14697350561618805,-0.035924069583415985,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,18754,4,1,54147,187285,0.09686869382858276,0.11488997936248779,-0.01802128553390503,0.0,0.1,-0.1,0
amazon-sports-and-outdoors,valid,18754,4,2,36816,187285,0.11503918468952179,0.11111561208963394,0.003923572599887848,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,18754,4,3,60742,187285,0.12504258751869202,0.0952744111418724,0.02976817637681961,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,18754,4,4,11224,187285,0.15615016222000122,0.0959140956401825,0.060236066579818726,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,20907,10,1,63316,7342,0.08722418546676636,0.1196446418762207,-0.032420456409454346,0.0,0.05,-0.05,0
amazon-sports-and-outdoors,valid,20907,10,2,40363,7342,0.2818365693092346,0.12603877484798431,0.1557977944612503,1.0,0.0,1.0,0
amazon-sports-and-outdoors,valid,20907,10,3,68825,7342,0.13852277398109436,0.132969468832016,0.005553305149078369,0.0,0.15,-0.15,0
amazon-sports-and-outdoors,valid,20907,10,4,45321,7342,0.15196967124938965,0.1414036601781845,0.01056601107120514,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,20907,10,5,15389,7342,0.21826165914535522,0.13246724009513855,0.08579441905021667,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,20907,10,6,129958,7342,0.08552718162536621,0.14498920738697052,-0.05946202576160431,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,20907,10,7,47474,7342,0.10494863986968994,0.13773879408836365,-0.032790154218673706,0.0,0.0,0.0,0
amazon-sports-and-outdoors,valid,20907,10,8,68825,7342,0.13852277398109436,0.13787484169006348,0.0006479322910308838,0.0,0.05,-0.05,0
