dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-sports-and-outdoors,valid,44584,13,3,0.23076923076923078,0.35,0.425,0.0008800029754638672,0.005030393600463867,0.004150390625,0.15384615384615385,-0.15000000000000002
amazon-sports-and-outdoors,valid,84349,12,2,0.16666666666666666,0.05,0.4,-0.12858884036540985,-0.13503965735435486,-0.006450816988945007,0.08333333333333333,-0.05
amazon-sports-and-outdoors,valid,183451,14,4,0.2857142857142857,0.25,0.4,0.033023953437805176,0.020342856645584106,-0.01268109679222107,0.07142857142857142,-0.1
amazon-sports-and-outdoors,valid,196193,33,23,0.696969696969697,0.85,0.9,0.020666047930717468,0.06566280126571655,0.044996753334999084,0.15151515151515152,0.6899999999999998
amazon-sports-and-outdoors,valid,235158,22,12,0.5454545454545454,0.4,0.9,0.30222398042678833,0.15499305725097656,-0.14723092317581177,0.3181818181818182,0.14285714285714285
amazon-sports-and-outdoors,valid,260451,11,1,0.09090909090909091,0.05,0.35,-0.08478450775146484,-0.09513366222381592,-0.010349154472351074,0.0,nan
amazon-sports-and-outdoors,valid,288285,16,6,0.375,0.6,0.425,-0.04676687717437744,-0.019830793142318726,0.026936084032058716,0.0,nan
amazon-sports-and-outdoors,valid,327377,20,10,0.5,0.8,0.2,0.0496123731136322,0.06513005495071411,0.01551768183708191,0.25,-0.030000000000000006
amazon-sports-and-outdoors,valid,338025,12,2,0.16666666666666666,0.6,0.5,0.08449828624725342,0.07408446073532104,-0.010413825511932373,0.16666666666666666,-0.15
amazon-sports-and-outdoors,valid,357431,16,6,0.375,0.4,0.8,-0.03803512454032898,-0.044001609086990356,-0.005966484546661377,0.125,-0.05
amazon-sports-and-outdoors,valid,372008,11,1,0.09090909090909091,0.4,0.475,0.1441119909286499,0.1319625973701477,-0.012149393558502197,0.09090909090909091,0.0
amazon-sports-and-outdoors,valid,385108,11,1,0.09090909090909091,0.8,0.4,0.09284085035324097,0.09231546521186829,-0.0005253851413726807,0.0,nan
amazon-sports-and-outdoors,valid,432794,11,1,0.09090909090909091,0.45,0.5,0.05189777910709381,0.047220200300216675,-0.004677578806877136,0.09090909090909091,0.0
amazon-sports-and-outdoors,valid,550335,13,3,0.23076923076923078,0.75,0.975,0.005532756447792053,0.02604544162750244,0.020512685179710388,0.0,nan
amazon-sports-and-outdoors,valid,582327,13,3,0.23076923076923078,1.0,0.5,0.16021963953971863,0.14876723289489746,-0.011452406644821167,0.15384615384615385,-0.025
amazon-sports-and-outdoors,valid,604811,42,32,0.7619047619047619,0.8,0.55,0.08963984251022339,0.13363617658615112,0.043996334075927734,0.11904761904761904,-0.030000000000000006
amazon-sports-and-outdoors,valid,606578,24,14,0.5833333333333334,0.95,0.9,0.011794477701187134,0.05861318111419678,0.046818703413009644,0.041666666666666664,0.0
amazon-sports-and-outdoors,valid,623693,11,1,0.09090909090909091,0.4,0.425,-0.0358312726020813,-0.032248735427856445,0.0035825371742248535,0.0,nan
amazon-sports-and-outdoors,valid,626490,12,2,0.16666666666666666,0.65,0.35,0.1711626946926117,0.14920741319656372,-0.021955281496047974,0.08333333333333333,0.0
