dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,722,25,15,0.6,0.45,0.25,-0.009746432304382324,-0.015745878219604492,-0.005999445915222168,0.16,0.0
amazon-toys-and-games,valid,3230,15,5,0.3333333333333333,0.4,0.375,0.027364104986190796,0.0183696448802948,-0.008994460105895996,0.26666666666666666,-0.05
amazon-toys-and-games,valid,4004,18,8,0.4444444444444444,0.75,0.775,0.052542269229888916,0.015815943479537964,-0.03672632575035095,0.1111111111111111,-0.025
amazon-toys-and-games,valid,5398,11,1,0.09090909090909091,0.5,0.975,0.2638680636882782,0.24773991107940674,-0.01612815260887146,0.0,nan
amazon-toys-and-games,valid,8213,77,67,0.8701298701298701,0.95,0.575,0.049423277378082275,0.04715621471405029,-0.0022670626640319824,0.4675324675324675,-0.0125
amazon-toys-and-games,valid,16800,24,14,0.5833333333333334,0.7,0.725,0.07127758860588074,0.051522791385650635,-0.019754797220230103,0.25,-0.19166666666666665
amazon-toys-and-games,valid,19292,20,10,0.5,0.7,0.8,0.08644849061965942,0.06589144468307495,-0.020557045936584473,0.25,-0.08
amazon-toys-and-games,valid,19395,25,15,0.6,0.45,0.25,-0.011467397212982178,-0.026580750942230225,-0.015113353729248047,0.36,-0.03333333333333334
amazon-toys-and-games,valid,19841,18,8,0.4444444444444444,0.4,0.5,-0.06828249990940094,-0.06591767072677612,0.002364829182624817,0.16666666666666666,-0.05000000000000001
amazon-toys-and-games,valid,22007,18,8,0.4444444444444444,1.0,0.425,0.16351082921028137,0.17492806911468506,0.011417239904403687,0.2222222222222222,0.0
amazon-toys-and-games,valid,25220,21,11,0.5238095238095238,0.6,0.7,0.03737074136734009,0.05169844627380371,0.014327704906463623,0.3333333333333333,0.04999999999999999
amazon-toys-and-games,valid,29179,30,20,0.6666666666666666,1.0,0.975,0.08279547095298767,0.12971431016921997,0.0469188392162323,0.23333333333333334,0.24999999999999997
amazon-toys-and-games,valid,30154,11,1,0.09090909090909091,1.0,0.5,0.05048924684524536,0.057544589042663574,0.007055342197418213,0.0,nan
amazon-toys-and-games,valid,36979,15,5,0.3333333333333333,0.8,0.75,0.08267799019813538,0.08315452933311462,0.00047653913497924805,0.06666666666666667,0.0
amazon-toys-and-games,valid,37821,11,1,0.09090909090909091,0.0,0.475,-0.12436577677726746,-0.12731635570526123,-0.0029505789279937744,0.09090909090909091,0.0
amazon-toys-and-games,valid,38679,29,19,0.6551724137931034,0.0,0.225,0.28207555413246155,0.03544574975967407,-0.24662980437278748,0.5172413793103449,-0.08666666666666667
amazon-toys-and-games,valid,39498,12,2,0.16666666666666666,0.85,0.4,0.2056090235710144,0.19002008438110352,-0.015588939189910889,0.08333333333333333,-0.1
