dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status
amazon-toys-and-games,valid,all_available,1,1,1,raw_cosine,0.21278478331537917,0.20602241769041865,0.22049245226982747,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,random_cosine,0.13599748246744275,0.13455357414274477,0.13735788433640264,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,excess_cosine,0.07678730084793642,0.06999138193397085,0.08442613066091434,2000,2000,cosine,estimated
amazon-toys-and-games,valid,all_available,1,1,1,raw_cluster_match,0.231,0.2119875,0.2495,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,1,1,1,random_cluster_match,0.07265,0.06937375000000001,0.076025625,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,1,1,1,excess_cluster_match,0.15835000000000002,0.139369375,0.177125,2000,2000,probability_difference,estimated
amazon-toys-and-games,valid,all_available,2,2,2,raw_cosine,0.1853030487912083,0.1800894676143865,0.19100943971445447,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,random_cosine,0.13744109643664962,0.1359450913830082,0.13885542833129638,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,excess_cosine,0.04786195235455868,0.042706396221704856,0.053454856013809476,1964,1964,cosine,estimated
amazon-toys-and-games,valid,all_available,2,2,2,raw_cluster_match,0.17973523421588594,0.1629327902240326,0.1975560081466395,1964,1964,probability_difference,estimated
amazon-toys-and-games,valid,all_available,2,2,2,random_cluster_match,0.07059572301425662,0.06710794297352343,0.07408413951120162,1964,1964,probability_difference,estimated
amazon-toys-and-games,valid,all_available,2,2,2,excess_cluster_match,0.10913951120162932,0.09189727596741344,0.1270366598778004,1964,1964,probability_difference,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,raw_cosine,0.17737990256208006,0.17275255780659868,0.18213753879508796,1844,3168,cosine,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,random_cosine,0.1377921790700737,0.13633077751442085,0.13927994986896053,1844,3168,cosine,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,excess_cosine,0.03958772349200634,0.03517784281709427,0.044051358328596586,1844,3168,cosine,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,raw_cluster_match,0.1822125813449024,0.16594360086767895,0.1982171908893709,1844,3168,probability_difference,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,random_cluster_match,0.07174620390455531,0.06873576464208243,0.07502745390455531,1844,3168,probability_difference,estimated
amazon-toys-and-games,valid,all_available,3-4,3,4,excess_cluster_match,0.11046637744034707,0.09388489696312365,0.12613984544468546,1844,3168,probability_difference,estimated
